strategy,asset,tf,bench_ret,bench_sharpe,ret_none,shp_none,trd_none,ret_up,shp_up,trd_up,ret_trend,shp_trend,trd_trend
triple_ema,XRP,1d,-38.742636229749635,-0.3933982701377666,-21.29,-0.586,9,-17.63,-1.543,2,-17.63,-1.543,2
rsi_macd_combo,XRP,1d,-38.742636229749635,-0.3933982701377666,-27.61,-0.633,2,0.0,0.0,0,-27.61,-0.633,2
stoch_rsi,XRP,1d,-38.742636229749635,-0.3933982701377666,0.36,0.25,9,-6.68,-0.16,1,-8.12,0.051,5
supertrend,XRP,1d,-38.742636229749635,-0.3933982701377666,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,XRP,1d,-38.742636229749635,-0.3933982701377666,-6.78,-0.604,1,0.0,0.0,0,0.0,0.0,0
pairs_spread,XRP,1d,-38.742636229749635,-0.3933982701377666,-15.96,-0.114,4,0.0,0.0,0,-14.08,-0.07,3
squeeze_momentum,XRP,1d,-38.742636229749635,-0.3933982701377666,-17.98,-0.164,2,-35.81,-1.058,1,-35.81,-1.058,1
atr_breakout,XRP,1d,-38.742636229749635,-0.3933982701377666,-41.15,-0.634,3,-52.8,-1.281,2,-57.04,-1.274,3
amd_ifvg,XRP,1d,-38.742636229749635,-0.3933982701377666,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,XRP,1d,-38.742636229749635,-0.3933982701377666,-32.69,-0.574,9,-31.06,-1.193,3,-41.93,-1.464,4
order_blocks,XRP,1d,-38.742636229749635,-0.3933982701377666,-38.9,-0.755,2,-38.9,-0.755,2,-38.9,-0.755,2
vwap_reversion,XRP,1d,-38.742636229749635,-0.3933982701377666,-65.09,-1.208,94,-21.75,-0.519,17,-40.4,-0.568,50
chart_pattern,XRP,1d,-38.742636229749635,-0.3933982701377666,-1.45,0.16,1,0.0,0.0,0,0.0,0.0,0
liquidity_sweeps,XRP,1d,-38.742636229749635,-0.3933982701377666,-45.8,-0.795,2,0.0,0.0,0,-22.39,-0.364,1
parabolic_sar,XRP,1d,-38.742636229749635,-0.3933982701377666,-13.72,-0.075,14,-17.97,-0.749,3,-31.0,-1.156,5
range_scalper,XRP,1d,-38.742636229749635,-0.3933982701377666,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,XRP,1d,-38.742636229749635,-0.3933982701377666,-30.36,-0.608,1,0.0,0.0,0,-30.36,-0.608,1
adx_trend,XRP,1d,-38.742636229749635,-0.3933982701377666,-33.88,-0.746,1,-33.88,-0.746,1,-33.88,-0.746,1
donchian_breakout,XRP,1d,-38.742636229749635,-0.3933982701377666,-13.76,-0.155,3,-20.87,-0.529,2,-20.87,-0.529,2
tema_cross,XRP,1d,-38.742636229749635,-0.3933982701377666,-18.15,-1.328,4,-7.62,-0.903,1,-7.62,-0.903,1
sma_crossover,DOGE,1d,-48.05363546593212,-0.4191539920836023,-37.33,-0.617,4,-20.69,-0.481,2,-20.69,-0.481,2
ema_crossover,DOGE,1d,-48.05363546593212,-0.4191539920836023,-43.75,-0.825,7,-13.41,-0.358,2,-13.41,-0.358,2
rsi,DOGE,1d,-48.05363546593212,-0.4191539920836023,45.9,1.039,2,0.0,0.0,0,-0.28,0.177,1
bollinger_bands,DOGE,1d,-48.05363546593212,-0.4191539920836023,-33.68,-0.489,4,-3.8,-1.529,1,-45.07,-0.919,3
macd,DOGE,1d,-48.05363546593212,-0.4191539920836023,-57.68,-0.95,17,-3.25,-0.907,1,-34.14,-0.582,9
mean_reversion,DOGE,1d,-48.05363546593212,-0.4191539920836023,-36.72,-0.773,3,0.0,0.0,0,-36.72,-0.773,3
momentum,DOGE,1d,-48.05363546593212,-0.4191539920836023,-43.94,-0.845,10,9.82,0.446,4,3.13,0.263,6
volume_weighted,DOGE,1d,-48.05363546593212,-0.4191539920836023,-28.06,-0.545,3,-23.41,-0.41,1,-26.25,-0.495,2
