asset,tier,strategy,direction,regime,split,sharpe,ret,trades
BTC,low,stoch_rsi,short,trending_down,train,-0.597,-34.32,46
BTC,low,stoch_rsi,short,ranging,train,-1.935,-62.19,50
BTC,low,stoch_rsi,short,trending_up,test,-0.261,-12.15,44
BTC,low,stoch_rsi,short,trending_down,test,0.875,30.07,44
BTC,low,stoch_rsi,short,ranging,test,-1.024,-30.36,44
BTC,low,supertrend,long,trending_up,train,0.0,0.0,0
BTC,low,supertrend,long,trending_down,train,0.0,0.0,0
BTC,low,supertrend,long,ranging,train,0.0,0.0,0
BTC,low,supertrend,long,trending_up,test,0.0,0.0,0
BTC,low,supertrend,long,trending_down,test,0.0,0.0,0
BTC,low,supertrend,long,ranging,test,0.0,0.0,0
BTC,low,supertrend,short,trending_up,train,0.0,0.0,0
BTC,low,supertrend,short,trending_down,train,0.0,0.0,0
BTC,low,supertrend,short,ranging,train,0.0,0.0,0
BTC,low,supertrend,short,trending_up,test,0.0,0.0,0
BTC,low,supertrend,short,trending_down,test,0.0,0.0,0
BTC,low,supertrend,short,ranging,test,0.0,0.0,0
BTC,low,ichimoku_cloud,long,trending_up,train,1.699,157.92,20
BTC,low,ichimoku_cloud,long,trending_down,train,1.636,130.21,17
BTC,low,ichimoku_cloud,long,ranging,train,1.755,161.32,23
BTC,low,ichimoku_cloud,long,trending_up,test,0.214,3.02,11
BTC,low,ichimoku_cloud,long,trending_down,test,0.633,18.53,10
BTC,low,ichimoku_cloud,long,ranging,test,0.426,11.55,14
BTC,low,ichimoku_cloud,short,trending_up,train,-0.868,-49.52,19
BTC,low,ichimoku_cloud,short,trending_down,train,-0.505,-38.54,21
BTC,low,ichimoku_cloud,short,ranging,train,-0.951,-51.12,21
BTC,low,ichimoku_cloud,short,trending_up,test,1.188,44.41,11
BTC,low,ichimoku_cloud,short,trending_down,test,0.954,37.45,11
BTC,low,ichimoku_cloud,short,ranging,test,0.675,21.56,14
BTC,low,pairs_spread,long,trending_up,train,1.225,63.72,40
BTC,low,pairs_spread,long,trending_down,train,0.945,64.93,40
BTC,low,pairs_spread,long,ranging,train,2.354,94.14,27
BTC,low,pairs_spread,long,trending_up,test,-0.767,-18.57,27
BTC,low,pairs_spread,long,trending_down,test,-0.232,-14.2,27
BTC,low,pairs_spread,long,ranging,test,-0.416,-12.37,23
BTC,low,pairs_spread,short,trending_up,train,-1.004,-65.29,41
BTC,low,pairs_spread,short,trending_down,train,-0.484,-37.55,47
BTC,low,pairs_spread,short,ranging,train,-1.017,-64.71,40
BTC,low,pairs_spread,short,trending_up,test,0.609,19.46,21
BTC,low,pairs_spread,short,trending_down,test,0.158,0.14,26
BTC,low,pairs_spread,short,ranging,test,0.141,-0.8,31
BTC,low,squeeze_momentum,long,trending_up,train,1.341,143.12,20
BTC,low,squeeze_momentum,long,trending_down,train,0.583,32.36,19
BTC,low,squeeze_momentum,long,ranging,train,1.089,92.84,18
BTC,low,squeeze_momentum,long,trending_up,test,-0.429,-18.99,14
BTC,low,squeeze_momentum,long,trending_down,test,-0.387,-15.5,13
BTC,low,squeeze_momentum,long,ranging,test,-0.411,-19.56,18
BTC,low,squeeze_momentum,short,trending_up,train,-1.329,-60.48,17
BTC,low,squeeze_momentum,short,trending_down,train,-1.484,-64.91,19
BTC,low,squeeze_momentum,short,ranging,train,-0.97,-38.72,20
BTC,low,squeeze_momentum,short,trending_up,test,0.822,26.96,16
BTC,low,squeeze_momentum,short,trending_down,test,0.455,12.72,17
BTC,low,squeeze_momentum,short,ranging,test,0.276,5.29,20
BTC,low,atr_breakout,long,trending_up,train,1.777,192.23,50
BTC,low,atr_breakout,long,trending_down,train,0.613,26.05,34
BTC,low,atr_breakout,long,ranging,train,1.806,135.07,40
BTC,low,atr_breakout,long,trending_up,test,-1.858,-48.41,30
BTC,low,atr_breakout,long,trending_down,test,-1.425,-31.76,21
BTC,low,atr_breakout,long,ranging,test,-1.346,-34.78,29
BTC,low,atr_breakout,short,trending_up,train,-1.151,-45.76,39
BTC,low,atr_breakout,short,trending_down,train,-1.255,-57.22,48
BTC,low,atr_breakout,short,ranging,train,-0.955,-41.09,36
BTC,low,atr_breakout,short,trending_up,test,0.168,1.65,20
BTC,low,atr_breakout,short,trending_down,test,-0.444,-21.89,28
BTC,low,atr_breakout,short,ranging,test,-0.638,-24.94,30
BTC,low,amd_ifvg,long,trending_up,train,0.0,0.0,0
BTC,low,amd_ifvg,long,trending_down,train,0.0,0.0,0
BTC,low,amd_ifvg,long,ranging,train,0.0,0.0,0
BTC,low,amd_ifvg,long,trending_up,test,0.0,0.0,0
BTC,low,amd_ifvg,long,trending_down,test,0.0,0.0,0
BTC,low,amd_ifvg,long,ranging,test,0.0,0.0,0
BTC,low,amd_ifvg,short,trending_up,train,0.0,0.0,0
BTC,low,amd_ifvg,short,trending_down,train,0.0,0.0,0
BTC,low,amd_ifvg,short,ranging,train,0.0,0.0,0
BTC,low,amd_ifvg,short,trending_up,test,0.0,0.0,0
BTC,low,amd_ifvg,short,trending_down,test,0.0,0.0,0
BTC,low,amd_ifvg,short,ranging,test,0.0,0.0,0
BTC,low,heikin_ashi_ema,long,trending_up,train,1.324,119.78,76
BTC,low,heikin_ashi_ema,long,trending_down,train,-0.056,-5.63,58
BTC,low,heikin_ashi_ema,long,ranging,train,2.408,284.19,65
BTC,low,heikin_ashi_ema,long,trending_up,test,-1.052,-34.82,50
BTC,low,heikin_ashi_ema,long,trending_down,test,-1.117,-29.75,40
BTC,low,heikin_ashi_ema,long,ranging,test,-0.675,-23.33,52
BTC,low,heikin_ashi_ema,short,trending_up,train,-1.559,-40.75,42
BTC,low,heikin_ashi_ema,short,trending_down,train,-1.148,-51.67,78
BTC,low,heikin_ashi_ema,short,ranging,train,-1.383,-47.91,59
BTC,low,heikin_ashi_ema,short,trending_up,test,-0.353,-7.09,25
BTC,low,heikin_ashi_ema,short,trending_down,test,-0.123,-9.98,55
BTC,low,heikin_ashi_ema,short,ranging,test,0.343,7.65,48
BTC,low,order_blocks,long,trending_up,train,1.538,136.95,41
BTC,low,order_blocks,long,trending_down,train,0.349,12.32,30
BTC,low,order_blocks,long,ranging,train,1.869,142.27,32
BTC,low,order_blocks,long,trending_up,test,-1.236,-33.36,27
BTC,low,order_blocks,long,trending_down,test,-0.299,-9.71,20
BTC,low,order_blocks,long,ranging,test,-0.658,-19.26,26
BTC,low,order_blocks,short,trending_up,train,-0.943,-45.38,34
BTC,low,order_blocks,short,trending_down,train,-1.287,-59.85,41
BTC,low,order_blocks,short,ranging,train,-0.981,-45.75,30
BTC,low,order_blocks,short,trending_up,test,0.497,14.08,23
BTC,low,order_blocks,short,trending_down,test,-0.274,-16.6,23
BTC,low,order_blocks,short,ranging,test,-0.006,-6.26,29
BTC,low,vwap_reversion,long,trending_up,train,-0.289,-17.84,161
BTC,low,vwap_reversion,long,trending_down,train,-0.587,-30.76,159
BTC,low,vwap_reversion,long,ranging,train,-0.338,-14.87,116
BTC,low,vwap_reversion,long,trending_up,test,-0.634,-15.71,78
BTC,low,vwap_reversion,long,trending_down,test,-0.664,-26.07,121
BTC,low,vwap_reversion,long,ranging,test,0.022,-2.79,107
BTC,low,vwap_reversion,short,trending_up,train,-1.965,-74.6,190
BTC,low,vwap_reversion,short,trending_down,train,-1.372,-51.71,148
BTC,low,vwap_reversion,short,ranging,train,-2.676,-71.26,127
BTC,low,vwap_reversion,short,trending_up,test,0.312,5.98,99
BTC,low,vwap_reversion,short,trending_down,test,0.029,-3.17,101
BTC,low,vwap_reversion,short,ranging,test,0.064,-1.17,108
BTC,low,chart_pattern,long,trending_up,train,1.589,178.07,29
BTC,low,chart_pattern,long,trending_down,train,0.787,46.31,24
BTC,low,chart_pattern,long,ranging,train,1.127,80.2,25
BTC,low,chart_pattern,long,trending_up,test,-0.366,-14.52,18
BTC,low,chart_pattern,long,trending_down,test,0.077,-0.56,16
BTC,low,chart_pattern,long,ranging,test,-0.134,-8.14,18
BTC,low,chart_pattern,short,trending_up,train,-0.182,-10.81,19
BTC,low,chart_pattern,short,trending_down,train,-0.587,-33.83,27
BTC,low,chart_pattern,short,ranging,train,-1.09,-42.15,23
BTC,low,chart_pattern,short,trending_up,test,0.252,4.42,18
BTC,low,chart_pattern,short,trending_down,test,0.163,0.2,19
BTC,low,chart_pattern,short,ranging,test,0.236,3.64,18
BTC,low,liquidity_sweeps,long,trending_up,train,1.388,85.82,18
BTC,low,liquidity_sweeps,long,trending_down,train,1.124,79.83,18
BTC,low,liquidity_sweeps,long,ranging,train,1.192,62.0,16
BTC,low,liquidity_sweeps,long,trending_up,test,-0.676,-27.79,14
BTC,low,liquidity_sweeps,long,trending_down,test,-0.238,-15.14,14
BTC,low,liquidity_sweeps,long,ranging,test,-0.587,-23.62,14
BTC,low,liquidity_sweeps,short,trending_up,train,-0.704,-84.03,16
BTC,low,liquidity_sweeps,short,trending_down,train,-0.463,-72.92,18
BTC,low,liquidity_sweeps,short,ranging,train,-0.628,-77.25,13
BTC,low,liquidity_sweeps,short,trending_up,test,0.045,-3.93,13
BTC,low,liquidity_sweeps,short,trending_down,test,-0.146,-10.46,14
BTC,low,liquidity_sweeps,short,ranging,test,-0.544,-24.38,11
BTC,low,parabolic_sar,long,trending_up,train,0.887,61.33,119
BTC,low,parabolic_sar,long,trending_down,train,0.826,37.76,65
BTC,low,parabolic_sar,long,ranging,train,1.938,133.58,80
BTC,low,parabolic_sar,long,trending_up,test,-1.278,-36.21,74
BTC,low,parabolic_sar,long,trending_down,test,-0.84,-25.38,57
BTC,low,parabolic_sar,long,ranging,test,-0.737,-21.4,63
BTC,low,parabolic_sar,short,trending_up,train,-1.387,-45.5,74
BTC,low,parabolic_sar,short,trending_down,train,-0.686,-37.64,106
BTC,low,parabolic_sar,short,ranging,train,-0.674,-26.4,73
BTC,low,parabolic_sar,short,trending_up,test,-0.519,-12.71,39
BTC,low,parabolic_sar,short,trending_down,test,-0.416,-19.77,82
BTC,low,parabolic_sar,short,ranging,test,-0.132,-8.03,67
BTC,low,range_scalper,long,trending_up,train,0.0,0.0,0
BTC,low,range_scalper,long,trending_down,train,0.0,0.0,0
BTC,low,range_scalper,long,ranging,train,0.0,0.0,0
BTC,low,range_scalper,long,trending_up,test,0.0,0.0,0
BTC,low,range_scalper,long,trending_down,test,0.0,0.0,0
BTC,low,range_scalper,long,ranging,test,0.0,0.0,0
BTC,low,range_scalper,short,trending_up,train,0.0,0.0,0
BTC,low,range_scalper,short,trending_down,train,0.0,0.0,0
BTC,low,range_scalper,short,ranging,train,0.0,0.0,0
BTC,low,range_scalper,short,trending_up,test,0.0,0.0,0
BTC,low,range_scalper,short,trending_down,test,0.0,0.0,0
BTC,low,range_scalper,short,ranging,test,0.0,0.0,0
BTC,low,sweep_squeeze_combo,long,trending_up,train,2.077,203.71,5
BTC,low,sweep_squeeze_combo,long,trending_down,train,1.99,192.99,5
BTC,low,sweep_squeeze_combo,long,ranging,train,2.073,196.4,5
BTC,low,sweep_squeeze_combo,long,trending_up,test,-1.112,-39.08,4
BTC,low,sweep_squeeze_combo,long,trending_down,test,-1.009,-37.39,4
BTC,low,sweep_squeeze_combo,long,ranging,test,-0.951,-38.35,4
BTC,low,sweep_squeeze_combo,short,trending_up,train,-0.298,-43.29,5
BTC,low,sweep_squeeze_combo,short,trending_down,train,-0.411,-52.19,5
BTC,low,sweep_squeeze_combo,short,ranging,train,-0.252,-65.03,5
BTC,low,sweep_squeeze_combo,short,trending_up,test,-0.648,-33.09,3
BTC,low,sweep_squeeze_combo,short,trending_down,test,-0.664,-31.78,3
BTC,low,sweep_squeeze_combo,short,ranging,test,-0.733,-36.14,3
BTC,low,adx_trend,long,trending_up,train,2.125,290.43,31
BTC,low,adx_trend,long,trending_down,train,1.932,178.89,12
BTC,low,adx_trend,long,ranging,train,2.477,250.47,13
BTC,low,adx_trend,long,trending_up,test,-1.231,-43.67,19
BTC,low,adx_trend,long,trending_down,test,-1.184,-38.65,12
BTC,low,adx_trend,long,ranging,test,-1.159,-37.33,13
BTC,low,adx_trend,short,trending_up,train,-0.165,-18.19,13
BTC,low,adx_trend,short,trending_down,train,-0.387,-33.49,32
