date,gated,n_long,n_short,lev,gross,ret,equity
2025-11-16 04:00:00,False,6,6,0.25,0.5,-0.0321,2.2996
2025-11-30 04:00:00,True,0,0,1.0,0.0,-0.0005,2.2985
2025-12-14 04:00:00,True,0,0,1.0,0.0,0.0,2.2985
2025-12-28 04:00:00,True,0,0,1.0,0.0,0.0,2.2985
2026-01-11 04:00:00,False,7,7,0.25,0.5,-0.0584,2.1643
2026-01-25 04:00:00,False,7,7,0.63,1.26,-0.0292,2.1011
2026-02-08 04:00:00,False,7,7,0.65,1.3,0.0196,2.1424
2026-02-22 04:00:00,False,7,7,0.73,1.46,-0.0436,2.049
2026-03-08 04:00:00,True,0,0,1.0,0.0,-0.0025,2.0439
2026-03-22 04:00:00,False,7,7,0.78,1.55,0.0074,2.0589
2026-04-05 04:00:00,True,0,0,1.0,0.0,-0.0034,2.052
2026-04-19 04:00:00,False,7,7,0.75,1.49,0.0074,2.0672
2026-05-03 04:00:00,False,7,7,0.72,1.44,0.0246,2.1181
2026-05-17 04:00:00,False,7,7,0.87,1.74,-0.0756,1.9579
