strategy,asset,tf,ret,sharpe,mdd,trades,win,bench_ret,bench_sharpe,bench_mdd,alpha_ret,alpha_sharpe,beats_bh
donchian_breakout,ETH,1d,-0.95,0.205,-48.19,4,25.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,19.537691097344496,0.21852423402775223,True
tema_cross,ETH,1d,2.05,0.211,-15.1,5,20.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,22.537691097344496,0.22452423402775223,True
sma_crossover,SOL,1d,-42.31,-0.834,-58.68,4,25.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,5.397827863618943,-0.2797159218414935,False
ema_crossover,SOL,1d,-35.36,-0.706,-53.11,9,22.22,-47.707827863618945,-0.5542840781585064,-68.60352351705188,12.347827863618946,-0.15171592184149352,False
rsi,SOL,1d,-42.22,-0.887,-53.56,1,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,5.487827863618946,-0.33271592184149357,False
bollinger_bands,SOL,1d,-45.68,-0.847,-65.23,3,33.33,-47.707827863618945,-0.5542840781585064,-68.60352351705188,2.0278278636189455,-0.29271592184149353,False
macd,SOL,1d,-32.64,-0.475,-49.46,15,33.33,-47.707827863618945,-0.5542840781585064,-68.60352351705188,15.067827863618945,0.07928407815850647,True
mean_reversion,SOL,1d,-46.62,-1.003,-58.82,4,50.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,1.0878278636189478,-0.44871592184149345,False
momentum,SOL,1d,-44.4,-0.912,-60.67,10,20.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,3.3078278636189467,-0.3577159218414936,False
volume_weighted,SOL,1d,-58.23,-1.047,-68.6,2,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,-10.522172136381052,-0.4927159218414935,False
triple_ema,SOL,1d,-27.0,-0.578,-44.72,5,20.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,20.707827863618945,-0.023715921841493515,False
rsi_macd_combo,SOL,1d,-57.77,-1.409,-60.89,1,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,-10.062172136381058,-0.8547159218414936,False
stoch_rsi,SOL,1d,-17.09,-0.136,-50.12,7,42.86,-47.707827863618945,-0.5542840781585064,-68.60352351705188,30.617827863618945,0.41828407815850643,True
supertrend,SOL,1d,0.0,0.0,0.0,0,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,47.707827863618945,0.5542840781585064,False
ichimoku_cloud,SOL,1d,-68.4,-1.558,-74.21,4,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,-20.69217213638106,-1.0037159218414935,False
pairs_spread,SOL,1d,-34.21,-0.852,-41.31,2,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,13.497827863618944,-0.29771592184149354,False
squeeze_momentum,SOL,1d,-52.71,-1.064,-61.05,2,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,-5.002172136381056,-0.5097159218414936,False
atr_breakout,SOL,1d,-10.62,-0.097,-30.47,3,33.33,-47.707827863618945,-0.5542840781585064,-68.60352351705188,37.08782786361895,0.45728407815850647,False
amd_ifvg,SOL,1d,0.0,0.0,0.0,0,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,47.707827863618945,0.5542840781585064,False
heikin_ashi_ema,SOL,1d,-38.66,-0.781,-52.85,9,33.33,-47.707827863618945,-0.5542840781585064,-68.60352351705188,9.047827863618949,-0.22671592184149358,False
order_blocks,SOL,1d,25.9,0.851,-22.47,3,66.67,-47.707827863618945,-0.5542840781585064,-68.60352351705188,73.60782786361895,1.4052840781585063,False
vwap_reversion,SOL,1d,-54.73,-0.674,-60.77,91,49.45,-47.707827863618945,-0.5542840781585064,-68.60352351705188,-7.022172136381052,-0.1197159218414936,False
chart_pattern,SOL,1d,-17.37,-0.159,-45.05,2,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,30.337827863618944,0.3952840781585064,False
liquidity_sweeps,SOL,1d,-11.28,-0.091,-34.88,2,50.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,36.427827863618944,0.4632840781585065,False
parabolic_sar,SOL,1d,-26.45,-0.382,-41.98,13,23.08,-47.707827863618945,-0.5542840781585064,-68.60352351705188,21.257827863618946,0.17228407815850644,True
range_scalper,SOL,1d,0.0,0.0,0.0,0,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,47.707827863618945,0.5542840781585064,False
sweep_squeeze_combo,SOL,1d,0.0,0.0,0.0,0,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,47.707827863618945,0.5542840781585064,False
adx_trend,SOL,1d,-7.15,-0.948,-8.73,1,0.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,40.55782786361895,-0.3937159218414935,False
donchian_breakout,SOL,1d,-21.98,-0.371,-48.11,4,25.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,25.727827863618945,0.18328407815850645,True
tema_cross,SOL,1d,-16.02,-0.319,-34.55,4,50.0,-47.707827863618945,-0.5542840781585064,-68.60352351705188,31.687827863618946,0.23528407815850644,True
sma_crossover,XRP,1d,-40.78,-1.511,-42.95,4,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,-2.0373637702503657,-1.1176017298622334,False
ema_crossover,XRP,1d,-29.22,-0.728,-51.38,9,11.11,-38.742636229749635,-0.3933982701377666,-65.91732936184562,9.522636229749637,-0.33460172986223335,False
rsi,XRP,1d,-22.12,-0.412,-31.6,2,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,16.622636229749634,-0.01860172986223335,False
bollinger_bands,XRP,1d,-5.79,0.159,-46.64,3,33.33,-38.742636229749635,-0.3933982701377666,-65.91732936184562,32.952636229749636,0.5523982701377667,False
macd,XRP,1d,-26.19,-0.371,-50.95,13,23.08,-38.742636229749635,-0.3933982701377666,-65.91732936184562,12.552636229749634,0.02239827013776663,True
mean_reversion,XRP,1d,-9.79,-0.022,-27.14,7,42.86,-38.742636229749635,-0.3933982701377666,-65.91732936184562,28.952636229749636,0.3713982701377666,True
momentum,XRP,1d,-31.87,-0.775,-57.43,9,11.11,-38.742636229749635,-0.3933982701377666,-65.91732936184562,6.872636229749634,-0.3816017298622334,False
volume_weighted,XRP,1d,-37.63,-0.917,-48.39,2,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,1.1126362297496328,-0.5236017298622334,False
triple_ema,XRP,1d,-21.29,-0.586,-44.8,9,11.11,-38.742636229749635,-0.3933982701377666,-65.91732936184562,17.452636229749636,-0.19260172986223334,False
rsi_macd_combo,XRP,1d,-27.61,-0.633,-32.34,2,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,11.132636229749636,-0.23960172986223338,False
stoch_rsi,XRP,1d,0.36,0.25,-39.29,9,66.67,-38.742636229749635,-0.3933982701377666,-65.91732936184562,39.102636229749635,0.6433982701377666,True
supertrend,XRP,1d,0.0,0.0,0.0,0,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,38.742636229749635,0.3933982701377666,False
ichimoku_cloud,XRP,1d,-6.78,-0.604,-10.17,1,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,31.962636229749634,-0.21060172986223336,False
pairs_spread,XRP,1d,-15.96,-0.114,-34.39,4,25.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,22.782636229749635,0.27939827013776664,True
squeeze_momentum,XRP,1d,-17.98,-0.164,-49.78,2,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,20.762636229749635,0.22939827013776662,False
atr_breakout,XRP,1d,-41.15,-0.634,-58.55,3,33.33,-38.742636229749635,-0.3933982701377666,-65.91732936184562,-2.407363770250363,-0.24060172986223338,False
amd_ifvg,XRP,1d,0.0,0.0,0.0,0,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,38.742636229749635,0.3933982701377666,False
heikin_ashi_ema,XRP,1d,-32.69,-0.574,-56.11,9,22.22,-38.742636229749635,-0.3933982701377666,-65.91732936184562,6.052636229749638,-0.18060172986223333,False
order_blocks,XRP,1d,-38.9,-0.755,-50.35,2,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,-0.1573637702503632,-0.3616017298622334,False
vwap_reversion,XRP,1d,-65.09,-1.208,-67.49,94,47.87,-38.742636229749635,-0.3933982701377666,-65.91732936184562,-26.347363770250368,-0.8146017298622333,False
chart_pattern,XRP,1d,-1.45,0.16,-33.37,1,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,37.29263622974963,0.5533982701377667,False
liquidity_sweeps,XRP,1d,-45.8,-0.795,-61.13,2,50.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,-7.057363770250362,-0.4016017298622334,False
parabolic_sar,XRP,1d,-13.72,-0.075,-42.58,14,28.57,-38.742636229749635,-0.3933982701377666,-65.91732936184562,25.022636229749637,0.3183982701377666,True
range_scalper,XRP,1d,0.0,0.0,0.0,0,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,38.742636229749635,0.3933982701377666,False
sweep_squeeze_combo,XRP,1d,-30.36,-0.608,-48.39,1,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,8.382636229749636,-0.21460172986223336,False
adx_trend,XRP,1d,-33.88,-0.746,-48.39,1,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,4.862636229749633,-0.35260172986223337,False
donchian_breakout,XRP,1d,-13.76,-0.155,-42.43,3,33.33,-38.742636229749635,-0.3933982701377666,-65.91732936184562,24.982636229749637,0.23839827013776663,False
tema_cross,XRP,1d,-18.15,-1.328,-20.81,4,0.0,-38.742636229749635,-0.3933982701377666,-65.91732936184562,20.592636229749637,-0.9346017298622334,False
sma_crossover,DOGE,1d,-37.33,-0.617,-49.57,4,25.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,10.72363546593212,-0.19784600791639767,False
ema_crossover,DOGE,1d,-43.75,-0.825,-62.42,7,28.57,-48.05363546593212,-0.4191539920836023,-69.47226635352628,4.303635465932118,-0.40584600791639763,False
rsi,DOGE,1d,45.9,1.039,-28.2,2,50.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,93.95363546593211,1.4581539920836022,False
bollinger_bands,DOGE,1d,-33.68,-0.489,-50.34,4,25.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,14.373635465932118,-0.06984600791639767,False
macd,DOGE,1d,-57.68,-0.95,-74.71,17,23.53,-48.05363546593212,-0.4191539920836023,-69.47226635352628,-9.626364534067882,-0.5308460079163977,False
mean_reversion,DOGE,1d,-36.72,-0.773,-45.13,3,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,11.333635465932119,-0.3538460079163977,False
momentum,DOGE,1d,-43.94,-0.845,-70.09,10,30.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,4.11363546593212,-0.42584600791639765,False
volume_weighted,DOGE,1d,-28.06,-0.545,-41.89,3,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,19.99363546593212,-0.12584600791639772,False
triple_ema,DOGE,1d,-49.3,-1.075,-62.66,7,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,-1.2463645340678795,-0.6558460079163977,False
rsi_macd_combo,DOGE,1d,-21.43,-0.086,-60.92,2,50.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,26.623635465932118,0.3331539920836023,False
stoch_rsi,DOGE,1d,-45.37,-0.864,-51.31,6,16.67,-48.05363546593212,-0.4191539920836023,-69.47226635352628,2.68363546593212,-0.44484600791639767,False
supertrend,DOGE,1d,0.0,0.0,0.0,0,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,48.05363546593212,0.4191539920836023,False
ichimoku_cloud,DOGE,1d,-62.81,-1.297,-69.47,1,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,-14.756364534067885,-0.8778460079163977,False
pairs_spread,DOGE,1d,-41.41,-0.846,-45.59,2,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,6.643635465932121,-0.42684600791639765,False
squeeze_momentum,DOGE,1d,-12.65,0.04,-47.94,4,50.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,35.40363546593212,0.4591539920836023,True
atr_breakout,DOGE,1d,-48.15,-0.801,-56.24,3,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,-0.09636453406788092,-0.3818460079163977,False
amd_ifvg,DOGE,1d,0.0,0.0,0.0,0,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,48.05363546593212,0.4191539920836023,False
heikin_ashi_ema,DOGE,1d,-39.46,-0.751,-57.82,9,33.33,-48.05363546593212,-0.4191539920836023,-69.47226635352628,8.593635465932117,-0.3318460079163977,False
order_blocks,DOGE,1d,-34.45,-0.383,-55.65,3,33.33,-48.05363546593212,-0.4191539920836023,-69.47226635352628,13.603635465932115,0.036153992083602315,False
vwap_reversion,DOGE,1d,-61.98,-0.813,-66.65,92,51.09,-48.05363546593212,-0.4191539920836023,-69.47226635352628,-13.92636453406788,-0.3938460079163976,False
chart_pattern,DOGE,1d,0.0,0.0,0.0,0,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,48.05363546593212,0.4191539920836023,False
liquidity_sweeps,DOGE,1d,-51.68,-1.037,-57.27,1,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,-3.626364534067882,-0.6178460079163977,False
parabolic_sar,DOGE,1d,-26.87,-0.321,-54.83,13,30.77,-48.05363546593212,-0.4191539920836023,-69.47226635352628,21.183635465932117,0.09815399208360231,True
range_scalper,DOGE,1d,0.0,0.0,0.0,0,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,48.05363546593212,0.4191539920836023,False
sweep_squeeze_combo,DOGE,1d,0.0,0.0,0.0,0,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,48.05363546593212,0.4191539920836023,False
adx_trend,DOGE,1d,-34.23,-1.027,-41.89,1,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,13.82363546593212,-0.6078460079163976,False
donchian_breakout,DOGE,1d,-16.58,-0.063,-47.51,3,33.33,-48.05363546593212,-0.4191539920836023,-69.47226635352628,31.47363546593212,0.3561539920836023,False
tema_cross,DOGE,1d,-43.61,-1.416,-47.63,4,0.0,-48.05363546593212,-0.4191539920836023,-69.47226635352628,4.443635465932118,-0.9968460079163977,False
sma_crossover,ADA,1d,-20.37,-0.487,-31.6,3,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,45.54399416909621,0.5518307682377571,False
ema_crossover,ADA,1d,-19.34,-0.333,-34.41,7,14.29,-65.91399416909621,-1.038830768237757,-75.76451008945288,46.57399416909621,0.7058307682377571,True
rsi,ADA,1d,-53.4,-0.924,-69.94,2,50.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,12.513994169096215,0.11483076823775706,False
bollinger_bands,ADA,1d,-43.72,-0.57,-64.53,4,50.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,22.193994169096214,0.46883076823775716,True
macd,ADA,1d,-59.95,-1.142,-72.2,16,25.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,5.96399416909621,-0.1031692317622428,False
mean_reversion,ADA,1d,-64.11,-1.374,-69.11,4,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,1.8039941690962138,-0.335169231762243,False
momentum,ADA,1d,-55.5,-1.415,-71.04,11,18.18,-65.91399416909621,-1.038830768237757,-75.76451008945288,10.413994169096213,-0.37616923176224293,False
volume_weighted,ADA,1d,-19.93,-0.896,-21.46,2,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,45.98399416909621,0.1428307682377571,False
triple_ema,ADA,1d,-23.57,-0.671,-35.53,6,16.67,-65.91399416909621,-1.038830768237757,-75.76451008945288,42.34399416909621,0.36783076823775707,True
rsi_macd_combo,ADA,1d,-48.53,-0.789,-67.4,2,50.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,17.383994169096212,0.24983076823775707,False
stoch_rsi,ADA,1d,-37.79,-0.593,-60.43,8,50.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,28.123994169096214,0.44583076823775714,True
supertrend,ADA,1d,0.0,0.0,0.0,0,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,65.91399416909621,1.038830768237757,False
ichimoku_cloud,ADA,1d,-9.15,-0.293,-17.03,1,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,56.763994169096215,0.7458307682377572,False
pairs_spread,ADA,1d,-54.45,-1.03,-63.41,3,33.33,-65.91399416909621,-1.038830768237757,-75.76451008945288,11.46399416909621,0.00883076823775708,False
squeeze_momentum,ADA,1d,-23.24,-0.235,-50.23,2,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,42.67399416909622,0.8038307682377571,False
atr_breakout,ADA,1d,-58.48,-1.082,-70.79,3,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,7.433994169096216,-0.043169231762242966,False
amd_ifvg,ADA,1d,0.0,0.0,0.0,0,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,65.91399416909621,1.038830768237757,False
